id	date	iso2	icao
8	1 Apr 2002	AL	LA
51	1 Mar 2006	AM	UD
40	1 May 1993	AT	LO
56	13 Dec 1960	BE	EB
70	1 Mar 2004	BA	LQ
100	1 Jun 1997	BG	LB
191	1 Mar 1997	HR	LD
196	1 Jan 1991	CY	LC
-1	1 Jan 1991	XK	BK
203	1 Jan 1996	CZ	LK
208	1 Aug 1994	DK	EK
246	1 Jan 2001	FI	EF
250	13 Dec 1960	FR	LF
268	1 Jan 2014	GE	UG
276	13 Dec 1960	DE	ED
300	1 Sep 1988	GR	LG
348	1 Jul 1992	HU	LH
372	1 Jan 1965	IE	EI
380	1 Apr 1996	IT	LI
428	1 Jan 2011	LV	EV
440	1 Sep 2006	LT	EY
442	13 Dec 1960	LU	EL
470	1 Jul 1989	MT	LM
498	1 Mar 2000	MD	LU
492	1 Dec 1997	MC	LN
499	1 Jul 2007	ME	LY
528	13 Dec 1960	NL	EH
578	1 Mar 1994	NO	EN
616	1 Sep 2004	PL	EP
620	1 Jan 1986	PT	LP
642	1 Sep 1996	RO	LR
688	1 Jul 2005	RS	LY
703	1 Jan 1997	SK	LZ
705	1 Oct 1995	SI	LJ
724	1 Jan 1997	ES	LE
752	1 Dec 1995	SE	ES
756	1 Jul 1992	CH	LS
807	1 Nov 1998	MK	LW
792	1 Mar 1989	TR	LT
804	1 May 2004	UA	UK
826	13 Dec 1960	GB	EG
233	1 Jan 2015	EE	EE